name,category,tvl_usd,num_chains,avax_only,slug,label
Arable Protocol,Synthetics,0.0,1,True,arable-protocol,dead
Volta DAO,Reserve Currency,0.0,2,False,volta-dao,dead
Snowyowl,Algo-Stables,0.0,1,True,snowyowl,dead
Echidna Finance,Yield,0.0,1,True,echidna-finance,dead
Polar Bear Finance,Algo-Stables,0.0,1,True,polar-bear-finance,dead
Yeti Finance,CDP,0.0,1,True,yeti-finance,dead
0x NODES,Yield Aggregator,0.0,6,False,0x-nodes,dead
SteakHut,Farm,0.0,1,True,steakhut,dead
ZeroSwap,Dexs,0.0,4,False,zeroswap,dead
Frozen Walrus Finance,Algo-Stables,0.0,1,True,frozen-walrus-finance,dead
BetSwirl,Prediction Market,0.0,6,False,betswirl,dead
CryptoBlades,Gaming,0.0,7,False,cryptoblades,dead
Wolf Safe Poor People,Yield,0.0,4,False,wolf-safe-poor-people,dead
Champion Finance,Algo-Stables,0.0,1,True,champion-finance,dead
EMDX,Derivatives,0.0,1,True,emdx,dead
Freebie Life Finance,Yield Lottery,0.0,1,True,freebie-life-finance,dead
Subzero+,Reserve Currency,0.0,1,True,subzero+,dead
Dypius,Yield,0.0,3,False,dypius,dead
Vertex Perps,Derivatives,0.0,7,False,vertex-perps,dead
Arrow Markets,Options,0.0,1,True,arrow-markets,dead
Cleopatra DAO,Yield Aggregator,0.0,1,True,cleopatra-dao,dead
Kandyland Finance,Reserve Currency,0.0,1,True,kandyland-finance,dead
Hermes Finance,Algo-Stables,0.0,1,True,hermes-finance,dead
Crabada,Gaming,0.0,1,True,crabada,dead
Anchor,Lending,0.0,2,False,anchor,dead
Zookeeper,Yield,0.0,2,False,zookeeper,dead
Avalaunch,Dexs,0.0,1,True,avalaunch,dead
Volta Club,Reserve Currency,0.0,2,False,volta-club,dead
Ramp,CDP,0.0,4,False,ramp,dead
SmartCoin,Yield,0.0,1,True,smartcoin,dead
Snowbank,Reserve Currency,0.0,1,True,snowbank,dead
Blizz Finance,Lending,0.0,1,True,blizz-finance,dead
EverestDAO,DAO Service Provider,0.0,1,True,everestdao,dead
Fortress,Reserve Currency,0.0,1,True,fortress,dead
R U Generous,Reserve Currency,0.0,1,True,r-u-generous,dead
VikingsFinance,Reserve Currency,0.0,1,True,vikingsfinance,dead
GalaxyGoogle DAO,Reserve Currency,0.0,2,False,galaxygoogle-dao,dead
HoneyFarm,Yield,0.0,2,False,honeyfarm,dead
MidasDAO,Reserve Currency,0.0,1,True,midasdao,dead
O2 DAO,Reserve Currency,0.0,1,True,o2-dao,dead
Ice DAO,Reserve Currency,0.0,1,True,ice-dao,dead
RagnarokDAO,Reserve Currency,0.0,1,True,ragnarokdao,dead
Vortex DAO,Reserve Currency,0.0,1,True,vortex-dao,dead
CakeDAO,Reserve Currency,0.0,1,True,cakedao,dead
Kitty Finance,Algo-Stables,0.0,2,False,kitty-finance,dead
SnowCatDAO,Reserve Currency,0.0,1,True,snowcatdao,dead
AgarthaDAO,Reserve Currency,0.0,1,True,agarthadao,dead
Louverture,Yield,0.0,1,True,louverture,dead
Piggy Finance,Yield,0.0,1,True,piggy-finance,dead
MarginSwap,Dexs,0.0,4,False,marginswap,dead
Chikn Farm,Services,0.0,1,True,chikn-farm,dead
Karma DAO,Reserve Currency,0.0,1,True,karma-dao,dead
Poolz Vesting,Launchpad,0.0,11,False,poolz-vesting,dead
