name,category,tvl_usd,num_chains,avax_only,slug
DxSale,Launchpad,26013965.826960262,22,False,dxsale
Wan Bridge,Bridge,22960970.607292928,36,False,wan-bridge
Allbridge Core,Bridge,22407627.163734768,14,False,allbridge-core
40 Acres,Lending,21500891.07023524,3,False,40-acres
XSY,Basis Trading,20971420.21447211,1,True,xsy
Hypha,Liquid Staking,20250295.026091944,1,True,hypha
Ankr,Liquid Staking,20034458.61237419,8,False,ankr
Okcoin,CEX,19369022.813708253,6,False,okcoin
Asseto AoABT,RWA,18966719.42794094,2,False,asseto-aoabt
WEEX,CEX,18413186.06546336,11,False,weex
OpenTrade,RWA,17271982.507944558,3,False,opentrade
Synapse,Cross Chain Bridge,16574959.652614199,19,False,synapse
Orderly Bridge,Bridge,16488127.838034261,17,False,orderly-bridge
Contango V2,Derivatives,15848577.373605926,10,False,contango-v2
DODO AMM,Dexs,15657537.22713644,15,False,dodo-amm
TermFinance Vaults,Yield,15277384.4590809,6,False,termfinance-vaults
Yield Yak Aggregator,Yield Aggregator,15144807.558932956,3,False,yield-yak-aggregator
Folks Finance xChain,Lending,14571169.006450372,8,False,folks-finance-xchain
Frax Swap,Dexs,13928689.609821543,10,False,frax-swap
Coinsquare,CEX,13686093.022501756,9,False,coinsquare
Joe DEX,Dexs,13242065.21635303,4,False,joe-dex
HashKey Global,CEX,13090758.142649982,12,False,hashkey-global
BackedFi,RWA,12502052.394875972,8,False,backedfi
Republic Note,RWA,10994240.48158753,1,True,republic-note
FlokiFi Locker,Token Locker,10689563.96125526,15,False,flokifi-locker
ACryptoS,Liquidity manager,10561955.547775736,17,False,acryptos
Abracadabra Spell,CDP,10453153.076895926,8,False,abracadabra-spell
Stargate V1,Cross Chain Bridge,10363694.5010831,13,False,stargate-v1
LeveX,CEX,9445104.428565513,10,False,levex
Symbiosis,Cross Chain Bridge,9290559.784768427,50,False,symbiosis
Fastex,CEX,9286202.575140797,14,False,fastex
VNX,RWA,8919762.521032207,11,False,vnx
MUX Perps,Derivatives,8857588.778951995,5,False,mux-perps
BiFi,Lending,8363610.101144635,5,False,bifi
Bitbond Lockers,Token Locker,7806717.984820917,7,False,bitbond-lockers
Royco V2,Yield,7560538.027076767,2,False,royco-v2
Dexalot Portfolio,Bridge,6885172.518215465,5,False,dexalot-portfolio
Superfluid,Payments,6706565.315819617,10,False,superfluid
Turtle Club,Onchain Capital Allocator,6702653.710669225,3,False,turtle-club
WOOFi Earn,Yield,6299400.090505236,9,False,woofi-earn
Keyring,Risk Curators,6224494.751305107,1,True,keyring
Blackhole AMM,Dexs,6188615.945033834,1,True,blackhole-amm
Allbridge Classic,Bridge,6046422.847709586,13,False,allbridge-classic
Balanced Exchange,Dexs,6000499.164253278,11,False,balanced-exchange
Avant avBTC,Onchain Capital Allocator,5905061.831239332,1,True,avant-avbtc
Pharaoh CL,Dexs,5836584.474135806,1,True,pharaoh-cl
WOOFi Swap,Dexs,5655714.560720462,16,False,woofi-swap
Sablier Lockup,Payments,5586860.637617216,28,False,sablier-lockup
Autofarm,Yield Aggregator,5584560.879882226,20,False,autofarm
NonKYC,CEX,5480778.392401021,15,False,nonkyc
Angle,CDP,5402562.2768165795,8,False,angle
Gamma,Liquidity manager,4492995.087901323,36,False,gamma
DeltaPrime,Leveraged Farming,4163809.046833371,2,False,deltaprime
Sierra Protocol,Yield,3756259.180256767,1,True,sierra-protocol
Joe V2.1,Dexs,3703730.423893108,4,False,joe-v2.1
Tothemoon,CEX,3688270.5823105406,10,False,tothemoon
Pharaoh Legacy,Dexs,3556796.4237492015,1,True,pharaoh-legacy
Parallel Protocol V3,CDP,3524589.9093847442,5,False,parallel-protocol-v3
Hashport,Bridge,3513717.116190763,12,False,hashport
Ribbon,Options Vault,3426424.9862521365,4,False,ribbon
QiDao,CDP,3357650.5022502653,14,False,qidao
Wombat Exchange,Dexs,3288428.5750164785,7,False,wombat-exchange
HiYield,RWA,3228740.955584193,2,False,hiyield
GMX V1 Perps,Derivatives,3080661.136577141,2,False,gmx-v1-perps
Ploutos Money,Lending,3004837.355651922,9,False,ploutos-money
Guru Network Classic,Yield,2992844.222260306,10,False,guru-network-classic
Sushi BentoBox,Yield,2910360.6516375435,9,False,sushi-bentobox
Dexalot DEX,Dexs,2780748.7419498083,5,False,dexalot-dex
VenomBridge,Bridge,2640492.038549104,6,False,venombridge
WOO X,CEX,2602786.227972599,9,False,woo-x
CORE Bridge,Canonical Bridge,2569066.131170624,7,False,core-bridge
EmpireDEX,Dexs,2494882.734268723,9,False,empiredex
Joe Lend,Lending,2329079.365180089,1,True,joe-lend
Arena DEX,Dexs,1877093.5069936898,1,True,arena-dex
OmniBTC,Lending,1864246.9500507351,8,False,omnibtc
