slug,name,category,avax_peak_tvl,avax_current_tvl,avax_start_tvl,avax_drawdown_from_peak,avax_tvl_30d_change,avax_tvl_90d_change,avax_lifespan_days,avax_consecutive_decline_days,avax_volatility_full,avax_history_days,history_source_mode,has_avax_history,has_total_history,total_history_days,current_avax_core_tvl,current_total_core_tvl,current_non_avax_core_tvl,current_avax_share,active_chain_count_core,data_quality_score_v2,current_status,current_tvl_band_avax,low_tvl_now_avax,migrated_candidate,core_eligible,core_universe_status,boundary_reason
blizzard,Blizzard,Yield,11610280.0,2535.0,7762431.0,0.9997816590125302,-0.027234369006520907,-0.3773631230051559,741.0,357.0,3.508313623199615,704,avax_core,1,1,704,2535.98902,2535.98902,0.0,1.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,
boofinance,BooFinance,Yield,22419106.0,16674.0,21041085.0,0.9992562593709133,0.03835855283641572,-0.19296292711257382,1522.0,799.0,5.9435289203574255,1523,avax_core,1,1,1523,16674.1814,16674.1814,0.0,1.0,1.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,
bridgers,Bridgers,Dexs,159793.0,14372.0,21324.0,0.9100586383633826,-0.28023436326305773,-0.49201244080016965,627.0,198.0,0.8815578874598125,626,avax_core,1,1,626,14372.62965,1779653.90781,1765281.27816,0.008076081302620585,8.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,
brokkr-finance,Brokkr Finance,Indexes,190763.0,6539.0,130529.0,0.965721864302826,0.0013780431786862655,-0.005776831863788386,1066.0,525.0,0.7430749199367599,1063,avax_core,1,1,1063,6539.32634,7084.86885,545.5425100000002,0.9229989260845668,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,
butterfly-finance,Butterfly Finance,Farm,291.0,17.0,0.0,0.9415807560137457,0.0,-0.28,811.0,351.0,0.5959109574672249,812,avax_core,1,1,812,17.75212,17.75212,0.0,1.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,
button-wrappers,Button Wrappers,CDP,1340212.0,121.0,9612.0,0.99990971577631,0.08928571428571429,-0.3259668508287293,825.0,374.0,2.652606393597128,826,avax_core,1,1,826,121.86779,35637.696729999996,35515.82894,0.0034196314908704825,2.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,
bxh,BXH,Dexs,253697.0,3264.0,141526.0,0.9871342585840589,-0.0006121824303642485,-0.003357753357753358,1381.0,640.0,2.6810753216385383,1382,avax_core,1,1,1414,3264.35217,41360.63090999999,38096.278739999994,0.07892413868403442,1.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,
cables-finance,Cables Finance,Dexs,539068.0,0.0,2106.0,1.0,-0.9999966099856263,-0.9999967817098132,495.0,65.0,0.5727178083278657,496,avax_core,1,1,496,0.0,0.0,0.0,0.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,
cakedao,CakeDAO,Reserve Currency,486281.0,0.0,402548.0,1.0,0.0,0.0,661.0,23.0,4.845750531529235,624,avax_core,1,1,624,0.0,0.0,0.0,0.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,
canary,Canary,Dexs,2371153.0,25785.0,335.0,0.9891255435646709,-0.011803479727140338,-0.1499587934728861,1742.0,897.0,1.600723167044641,1742,avax_core,1,1,1742,25785.55847,26014.79137,229.23289999999906,0.9911883629301618,1.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,
cavalre,CavalRe,Dexs,2038485.0,12361.0,14497.0,0.9939361829986485,0.028538147932440302,-0.17150325045238254,909.0,378.0,1.7001443631915079,910,avax_core,1,1,910,12361.95284,12361.95284,0.0,1.0,1.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,
cesta-finance,Cesta Finance,Reserve Currency,96263.0,0.0,0.0,1.0,0.0,0.0,1501.0,295.0,1.3785800200231113,1501,avax_core,1,1,1501,0.0,0.0,0.0,0.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,
chaingpt,ChainGPT,Launchpad,20019.0,0.0,0.0,1.0,0.0,0.0,710.0,3.0,8.782098621536608,625,avax_core,1,1,805,0.0,38313.81886,38313.81886,0.0,1.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,
champion-finance,Champion Finance,Algo-Stables,0.0,0.0,0.0,0.0,0.0,0.0,1289.0,0.0,0.0,1286,avax_core,1,1,1286,0.0,0.0,0.0,0.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,
chikn-farm,Chikn Farm,Services,0.0,0.0,0.0,0.0,0.0,0.0,1523.0,0.0,0.0,1524,avax_core,1,1,1524,0.0,0.0,0.0,0.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,
cian-automation,CIAN Automation,Yield,9958364.0,938760.0,9059093.0,0.9057315036887585,0.1624544310819646,-0.3677534108924961,725.0,378.0,0.49820073024893347,726,avax_core,1,1,726,938760.61484,1037009.9744000001,98249.35956000001,0.9052570737163393,3.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,
clearpool-lending,Clearpool Lending,Uncollateralized Lending,624342.0,46.0,45.0,0.9999263224322567,0.0,0.0,660.0,11.0,9.861011119097437,658,avax_core,1,1,1415,46.05894,628250.19973,628204.14079,7.331305269746755e-05,5.0,1.0,low_tvl_on_avax,lt_10k,1.0,1,1,core_eligible,
cleopatra-dao,Cleopatra DAO,Yield Aggregator,213316.0,0.0,20426.0,1.0,0.0,0.0,633.0,29.0,3.5030274026503894,596,avax_core,1,1,596,0.0,0.0,0.0,0.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,
clovis,Clovis,Yield Aggregator,7459.0,1233.0,5010.0,0.834696339991956,0.0,-0.8341174889097998,167.0,14.0,0.4657721173215407,168,avax_core,1,1,168,1233.50354,280106.02446,278872.52092,0.004403702285154342,3.0,0.838082,low_tvl_on_avax,lt_10k,1.0,1,1,core_eligible,
coinscope,Coinscope,Token Locker,0.0,0.0,0.0,0.0,0.0,0.0,971.0,0.0,0.0,965,avax_core,1,1,965,0.0,14965.52691,14965.52691,0.0,1.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,
colony,Colony,Yield,1631456.0,113036.0,0.0,0.9307146499813663,-0.06313093639663832,-0.6807360438349974,1549.0,224.0,1.359320041704691,1550,avax_core,1,1,1550,113036.02187,284381.41168,171345.38981000002,0.39748034585746306,2.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,
complus-network,Complus Network,Dexs,5217645.0,61370.0,36390.0,0.9882379885944712,0.054847026469577176,-0.17502117191595756,1844.0,960.0,2.000673152229666,1844,avax_core,1,1,1844,61370.99588,64146.21248,2775.2165999999997,0.956736080078535,1.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,
contango-v2,Contango V2,Derivatives,1114449.0,454797.0,117956.0,0.5919086472328478,-0.16734620644705356,-0.41870158221740505,451.0,43.0,0.40749218449483876,431,avax_core,1,1,708,454797.56121,15848577.3736,15393779.81239,0.028696428107647422,9.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,
cook-finance,Cook Finance,Indexes,3746012.0,9953.0,505626.0,0.99734304107942,0.03300124533001245,-0.7384655806621124,1560.0,793.0,2.688594038157471,1559,avax_core,1,1,1597,9953.3351,132488.97919,122535.64409000002,0.0751257588431269,2.0,1.0,low_tvl_on_avax,lt_10k,1.0,1,1,core_eligible,
core-bridge,CORE Bridge,Canonical Bridge,3541586.0,871506.0,3060364.0,0.7539221128613,-0.0033598453876458783,0.07767481315507016,474.0,208.0,0.7677171016141664,475,avax_core,1,1,475,871506.58907,2580583.28048,1709076.6914100002,0.3377169013153863,6.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,
cougarswap,CougarSwap,Yield,508233.0,5034.0,461313.0,0.9900950941792446,0.030495292672943104,-0.19926844783715011,1570.0,790.0,3.0301041923253944,1535,avax_core,1,1,1535,5034.2632,43950.47661,38916.21341,0.11454399561288399,2.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,
coup-farm,Coup Farm,Yield,28310.0,15.0,24851.0,0.9994701518897916,0.0,0.0,1531.0,64.0,12.243500368851679,1532,avax_core,1,1,1532,15.19103,15.19103,0.0,1.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,
crabada,Crabada,Gaming,0.0,0.0,0.0,0.0,0.0,0.0,1516.0,0.0,0.0,1517,avax_core,1,1,1517,0.0,0.0,0.0,0.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,
createmytoken,CreateMyToken,Launchpad,35.0,9.0,35.0,0.7428571428571429,0.1111111111111111,-0.2857142857142857,401.0,117.0,0.3099192001783227,402,avax_core,1,1,402,9.1064,27649.289080000002,27640.18268,0.0003293538569346825,1.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,
crocodile-finance,Crocodile Finance,Algo-Stables,19684747.0,4.0,18360632.0,0.9999997967969819,0.0,0.0,255.0,16.0,8.127183831814232,256,avax_core,1,1,256,4.86613,4.86613,0.0,1.0,0.0,0.910411,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,
crypto-lottery,Crypto Lottery,Luck Games,6.0,2.0,1.0,0.6666666666666666,0.5,0.5,932.0,10.0,0.6596850639938043,664,avax_core,1,1,668,2.22,10.56977,8.34977,0.21003295246727224,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,
cryptoblades,CryptoBlades,Gaming,0.0,0.0,0.0,0.0,0.0,0.0,1307.0,0.0,0.0,1307,avax_core,1,1,1307,0.0,0.0,0.0,0.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,
cryptoyieldfocus,CryptoYieldFocus,Farm,824215.0,3377.0,28018.0,0.9959027680884235,-0.0017730496453900709,-0.13561924257932445,765.0,386.0,4.723072503402208,728,avax_core,1,1,728,3377.75393,3377.75393,0.0,1.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,
curve-dex,Curve DEX,Dexs,1448711155.0,2194030.0,174530726.0,0.9984855297120978,-0.1015610667767382,-0.23542030902661737,1615.0,799.0,2.2253210251213993,1609,avax_core,1,1,2213,2194030.77099,1811343134.0497103,1809149103.2787204,0.001211272855897102,26.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,
cycle-finance,Cycle Finance,Yield Aggregator,22689788.0,22571.0,15155011.0,0.999005235306738,0.05669210242966153,-0.3289332857652515,1652.0,847.0,3.3111943569658338,1653,avax_core,1,1,1653,22571.60364,22571.60364,0.0,1.0,1.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,
cytonic-airdrop-campaign,Cytonic Airdrop Campaign,Farm,117604.0,3186.0,88775.0,0.9729090847250094,0.01756066411238825,-0.5523876404494382,470.0,240.0,0.8728888448226594,470,avax_core,1,1,470,3186.6193,410387.92928000004,407201.30998,0.007764895292097709,6.0,1.0,low_tvl_on_avax,lt_10k,1.0,1,1,core_eligible,
deepseadao,DeepSeaDAO,Reserve Currency,265703.0,0.0,139577.0,1.0,0.0,0.0,650.0,51.0,4.223215936006405,613,avax_core,1,1,613,0.44685,0.44685,0.0,1.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,
defi-yield-protocol,Defi Yield Protocol,Yield,,,,,,,,,,0,total_only,0,1,1775,0.0,547.6956,547.6956,0.0,0.0,0.25,no_avax_core_history,unknown,,0,0,boundary_excluded,no_avax_core_history_total_only
deficurrent,DefiCurrent,Yield Aggregator,56754.0,137.0,51210.0,0.9975860732283187,0.014705882352941176,0.022222222222222223,460.0,68.0,1.3733413113448354,460,avax_core,1,1,460,137.00868,423.7115,286.70282,0.32335369703206074,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,
defiedge,DefiEdge,Liquidity Manager,782.0,778.0,0.0,0.005115089514066497,-0.001282051282051282,0.0,381.0,59.0,0.09435021911936776,376,avax_core,1,1,722,778.68256,878329.83335,877551.15079,0.0008865491418298527,4.0,1.0,low_tvl_on_avax,lt_10k,1.0,1,1,core_eligible,
definitive-yield-vaults,Definitive Yield Vaults,Yield,1035965.0,6139.0,244962.0,0.9940741241258151,0.04813929668828952,-0.35074547953896584,758.0,252.0,1.123861257059984,756,avax_core,1,1,756,6139.72513,43324.911230000005,37185.186100000006,0.14171350744161695,1.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,
defrost,Defrost,CDP,95973801.0,81395.0,350.0,0.9991519039659583,0.0033899976578198,-0.008900848685572345,1567.0,764.0,2.2093761411442743,1567,avax_core,1,1,1567,81395.44294,81395.44294,0.0,1.0,1.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,
deltaprime,DeltaPrime,Leveraged Farming,50181029.0,2603900.0,6207.0,0.9481098723583369,-0.17974065084572774,-0.48880701986523545,1153.0,280.0,0.7009037551446353,1080,avax_core,1,1,1080,2603900.55404,4253515.1506199995,1649614.5965799997,0.6121761559167013,2.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,
dexalot-dex,Dexalot DEX,Dexs,1076689.0,443342.0,0.0,0.588235785821161,-0.050740727259491136,-0.23515793069301807,1107.0,227.0,0.6259833944109611,762,avax_core,1,1,762,443342.88294,2783095.21066,2339752.32772,0.1592984965954014,5.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,
dexfinance-etf,DexFinance ETF,Yield,713.0,12.0,515.0,0.9831697054698457,0.08333333333333333,-0.8725490196078431,617.0,251.0,0.6546610627672867,618,avax_core,1,1,618,12.35042,4985.98702,4973.6366,0.0024770261034494233,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,
dexpad,DexPad,Launchpad,0.0,0.0,0.0,0.0,0.0,0.0,1347.0,0.0,0.0,1346,avax_core,1,1,1346,0.03492,33634.58079,33634.54587,1.0382171913491536e-06,1.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,
dexvaults,dexVAULTS,Yield,12741.0,4.0,11808.0,0.9996860529000864,0.0,-0.16666666666666666,598.0,56.0,3.961714902316112,566,avax_core,1,1,566,4.73207,15175.611589999999,15170.879519999999,0.00031182071127322525,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,
dforce-lending,dForce Lending,Lending,4020002.0,0.0,2009999.0,1.0,0.0,0.0,1360.0,2.0,9.206693733513736,1361,avax_core,1,1,1955,0.0,1036885.06964,1036885.06964,0.0,2.0,1.0,low_tvl_on_avax,lt_10k,1.0,1,1,core_eligible,
diamondswap,Diamondswap,Dexs,92.0,43.0,85.0,0.532608695652174,0.047619047619047616,-0.16981132075471697,441.0,152.0,0.18122255308678412,442,avax_core,1,1,442,43.27642,341107.61730000004,341064.34088000003,0.00012687028317499843,2.0,1.0,low_tvl_on_avax,lt_10k,1.0,1,1,core_eligible,
dodo-amm,DODO AMM,Dexs,4250240.0,1847660.0,976721.0,0.5652810194247854,-0.30698375726478416,-0.4993764087702152,891.0,83.0,0.5520229296894593,879,avax_core,1,1,1839,1847660.63037,12771560.99144,10923900.36107,0.14466991400725207,10.0,1.0,active_on_avax,ge_10k,0.0,0,1,core_eligible,
domani-protocol,Domani Protocol,Indexes,2071.0,782.0,2071.0,0.6224046354418156,0.03708609271523179,-0.2640977443609023,1054.0,523.0,0.19451771173411211,1053,avax_core,1,1,1810,782.40496,96167.64411,95385.23915,0.008135844100590185,1.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,
donaswap-v2,DONASWAP V2,Dexs,0.0,0.0,0.0,0.0,0.0,0.0,559.0,0.0,0.0,519,avax_core,1,1,519,0.0,1.01802,1.01802,0.0,0.0,1.0,low_tvl_on_avax,lt_10k,1.0,0,1,core_eligible,
