slug,name,category,parent_protocol,gecko_id,chains_count_payload,avax_only,num_chains,old_label,history_source_mode,has_avax_history,has_total_history,avax_history_days,total_history_days,current_avax_core_tvl,current_total_core_tvl,current_non_avax_core_tvl,current_avax_share,active_chain_count_core,data_quality_score_v2,core_eligible,core_universe_status,boundary_reason
core-bridge,CORE Bridge,Canonical Bridge,,coredaoorg,7.0,0,7,alive,avax_core,1,1,475,475,871506.58907,2580583.28048,1709076.6914100002,0.3377169013153863,6.0,1.0,1,core_eligible,
cougarswap,CougarSwap,Yield,,cougar-token,8.0,0,8,alive,avax_core,1,1,1535,1535,5034.2632,43950.47661,38916.21341,0.11454399561288399,2.0,1.0,1,core_eligible,
coup-farm,Coup Farm,Yield,,,1.0,1,1,dead,avax_core,1,1,1532,1532,15.19103,15.19103,0.0,1.0,0.0,1.0,1,core_eligible,
crabada,Crabada,Gaming,,crabada,1.0,1,1,dead,avax_core,1,1,1517,1517,0.0,0.0,0.0,0.0,0.0,1.0,1,core_eligible,
createmytoken,CreateMyToken,Launchpad,,,8.0,0,8,alive,avax_core,1,1,402,402,9.1064,27649.289080000002,27640.18268,0.0003293538569346825,1.0,1.0,1,core_eligible,
crocodile-finance,Crocodile Finance,Algo-Stables,,,1.0,1,1,dead,avax_core,1,1,256,256,4.86613,4.86613,0.0,1.0,0.0,0.910411,1,core_eligible,
crypto-lottery,Crypto Lottery,Luck Games,,,6.0,0,6,dead,avax_core,1,1,664,668,2.22,10.56977,8.34977,0.21003295246727224,0.0,1.0,1,core_eligible,
cryptoblades,CryptoBlades,Gaming,,cryptoblades,7.0,0,7,dead,avax_core,1,1,1307,1307,0.0,0.0,0.0,0.0,0.0,1.0,1,core_eligible,
cryptoyieldfocus,CryptoYieldFocus,Farm,,,1.0,1,1,dead,avax_core,1,1,728,728,3377.75393,3377.75393,0.0,1.0,0.0,1.0,1,core_eligible,
curve-dex,Curve DEX,Dexs,parent#curve-finance,,30.0,0,30,alive,avax_core,1,1,1609,2213,2194030.77099,1811343134.0497103,1809149103.2787204,0.001211272855897102,26.0,1.0,1,core_eligible,
cycle-finance,Cycle Finance,Yield Aggregator,,cycle-token,1.0,1,1,alive,avax_core,1,1,1653,1653,22571.60364,22571.60364,0.0,1.0,1.0,1.0,1,core_eligible,
cytonic-airdrop-campaign,Cytonic Airdrop Campaign,Farm,,,11.0,0,11,alive,avax_core,1,1,470,470,3186.6193,410387.92928000004,407201.30998,0.007764895292097709,6.0,1.0,1,core_eligible,
deepseadao,DeepSeaDAO,Reserve Currency,,,1.0,1,1,dead,avax_core,1,1,613,613,0.44685,0.44685,0.0,1.0,0.0,1.0,1,core_eligible,
defi-yield-protocol,Defi Yield Protocol,Yield,,defi-yield-protocol,3.0,0,3,dead,total_only,0,1,0,1775,0.0,547.6956,547.6956,0.0,0.0,0.25,0,boundary_excluded,no_avax_core_history_total_only
