launch_trim_days,lifecycle_days,early_window_days_observed,data_points,log_start_tvl,log_peak_tvl,log_end_tvl,log_median_tvl,retention_ratio,drawdown_ratio,peak_day_frac,peak_day_ratio_by_span,auc_norm,slope_total_log,slope_post_log,vol_log_ret,mean_log_ret,downside_log_ret,crash_15_count,rebound_15_count,nonzero_day_frac,active_day_frac,stable_band_frac,rolling7_end_vs_peak,peak_to_median_log_gap,slug,name,category,current_status,structural_decay_label_v2,structural_decay_target_v2,history_source_mode,data_quality_score_v2,core_eligible,core_universe_status
0.0,1343.0,90.0,91.0,11.881781912211006,12.597641648446226,11.719923374059755,12.009747494498253,0.4176966169124062,0.5842715617912587,0.5666666666666667,0.5666666666666667,0.9541849740575907,0.0025229379238191603,-0.010736732220679201,0.09882975912475264,-0.0017984282016805587,0.0682868983369928,4.0,6.0,1.0,1.0,0.6043956043956044,0.9493105867745492,0.587894153947973,acryptos,ACryptoS,Liquidity Manager,active_on_avax,resilient_or_unproven,0.0,avax_core,1.0,1,core_eligible
0.0,654.0,90.0,91.0,14.079595648652969,14.131973217305207,0.0,0.0,0.0007281921029022824,1.0,0.06666666666666667,0.06666666666666667,0.2596879256613718,-0.17706724771293572,-0.16244514666641846,0.5789478500370462,-0.07967600965930832,0.577675561365676,3.0,1.0,0.27472527472527475,0.27472527472527475,0.7252747252747253,7.102476192708777e-08,14.131973217305207,agarthadao,AgarthaDAO,Reserve Currency,low_tvl_on_avax,structural_decay,1.0,avax_core,1.0,1,core_eligible
0.0,305.0,90.0,91.0,5.003946305945459,5.081404364984463,4.912654885736052,4.912654885736052,0.978448275862069,0.15625,0.022222222222222223,0.022222222222222223,0.9703047776880628,-0.0021323756814824097,-0.0021656324493666865,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5934065934065934,0.9718459288131935,0.16874947924841077,ajna-v2,Ajna V2,Lending,low_tvl_on_avax,censored,,avax_core,0.967671,1,core_eligible
0.0,1500.0,90.0,91.0,12.24177757015095,14.026379078402872,10.7141732944266,12.43738672696968,0.037214677090574216,0.9635650646406678,0.35555555555555557,0.35555555555555557,0.8798294904381542,-0.029536171578837082,-0.05994305089767846,0.1762078458593799,-0.01697338084138167,0.13188956183921083,7.0,6.0,1.0,1.0,0.5604395604395604,0.7676943605127228,1.588992351433193,alligator,Alligator,Dexs,low_tvl_on_avax,structural_decay,1.0,avax_core,1.0,1,core_eligible
0.0,1530.0,90.0,91.0,10.897424276099398,10.897424276099398,3.8066624897703196,3.8066624897703196,0.018969401846064396,0.9991857280331631,0.0,0.0,0.3567782827133188,-0.00509787084080064,-0.00509787084080064,0.4181003641630182,-0.04431854996426864,0.4181003641630182,1.0,0.0,1.0,0.01098901098901099,0.989010989010989,0.3493176959991846,7.090761786329079,amogus-dao,Amogus DAO,Reserve Currency,low_tvl_on_avax,structural_decay,1.0,avax_core,1.0,1,core_eligible
0.0,568.0,90.0,91.0,17.723196813270718,19.16253096107672,11.352580640979642,17.991655559067972,0.00041043380606449286,0.9995943265590145,0.4666666666666667,0.4666666666666667,0.8256157843204524,-0.10607244874493707,-0.1655410759048459,0.3200867565818717,-0.07078462413656751,0.304814652922397,13.0,5.0,1.0,1.0,0.5824175824175825,0.5932824804594249,1.1708754020087468,anchor,Anchor,Lending,low_tvl_on_avax,structural_decay,1.0,avax_core,1.0,1,core_eligible
0.0,1108.0,90.0,91.0,2.70805020110221,10.839953391346915,4.912654885736052,2.772588722239781,0.021819370218001462,0.9973538751029049,0.18888888888888888,0.18888888888888888,0.2903703228972755,0.005143735531126343,0.006177938245761145,0.5055527165507093,0.0,0.2907566083541625,2.0,1.0,0.989010989010989,0.02197802197802198,0.8791208791208791,0.8306404016450292,8.067364669107134,angle,Angle,CDP,low_tvl_on_avax,structural_decay,1.0,avax_core,1.0,1,core_eligible
0.0,1453.0,90.0,90.0,13.45134189180838,13.83337012226504,12.128208396624684,13.474916337628772,0.18254517334809262,0.8182578124769774,0.25842696629213485,0.26666666666666666,0.9579450496641339,-0.017812843275579037,-0.025660005371152757,0.07561630695253917,-0.01486666848521006,0.0580248012901215,3.0,1.0,1.0,1.0,0.6222222222222222,0.9004007470728501,0.35872527395736675,ankr,Ankr,Liquid Staking,active_on_avax,resilient_or_unproven,0.0,avax_core,1.0,1,core_eligible
0.0,1277.0,90.0,91.0,7.055312843339752,9.373224234877663,9.013960457931187,7.121252453244542,0.7218045112781954,0.3018354860639021,0.6555555555555556,0.6555555555555556,0.8466890994139952,0.033045492797373094,-0.006520071616498749,0.24609329289357615,0.021762751273238172,0.030727310173394643,1.0,2.0,1.0,0.14285714285714285,0.5384615384615384,0.9648823501710672,2.251971781633121,ante-finance,Ante Finance,Insurance,low_tvl_on_avax,structural_decay,1.0,avax_core,1.0,1,core_eligible
0.0,780.0,90.0,91.0,10.665134149520766,13.505805074099696,12.85396615116441,12.825110315473676,0.5217378876272354,0.47891399581823785,0.6222222222222222,0.6222222222222222,0.9520012571188396,0.008041785278611569,-0.010673112167634573,0.16690331649806683,0.024320355573818276,0.03709521547157252,1.0,4.0,1.0,1.0,0.8351648351648352,0.9729374970903034,0.6806947586260197,antfarm-finance,Antfarm finance,Liquidity Manager,active_on_avax,resilient_or_unproven,0.0,avax_core,1.0,1,core_eligible
